"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.274225000E-2,-2.021246796E0,3.711531830E0,7.473508759E0,8.585699756E0
4.278824999E-2,-1.637295227E0,3.601061554E0,7.699838104E0,8.656551670E0
5.283425000E-2,-1.349294128E0,3.414699097E0,7.931107178E0,8.739749746E0
6.288124999E-2,-1.160836029E0,3.342848511E0,7.949069824E0,8.701142886E0
7.292725000E-2,-1.311273193E0,3.430715790E0,7.617509308E0,8.456695352E0
8.297325000E-2,-1.492246857E0,3.539838867E0,7.559579773E0,8.479652483E0
9.301924999E-2,-1.648671570E0,3.639232178E0,7.905809784E0,8.857988323E0
1.030662500E-1,-1.657203827E0,3.495381317E0,8.311615906E0,9.167713676E0
1.131122500E-1,-1.901495819E0,3.038231964E0,8.575816498E0,9.294684955E0
1.231582500E-1,-1.531465302E0,2.496658173E0,8.687184906E0,9.167653440E0
1.332042500E-1,-4.116439819E-1,2.002535706E0,9.466165009E0,9.684414282E0
1.432512500E-1,-1.682501221E-1,1.825603638E0,9.812245331E0,9.982048646E0
1.532972500E-1,-2.698887634E-1,2.100731506E0,9.695488129E0,9.924132348E0
1.633432500E-1,-1.838177490E-1,2.569406891E0,9.437424774E0,9.782669733E0
1.733902500E-1,3.068618774E-2,2.883603516E0,9.155710602E0,9.599122226E0
1.834362500E-1,2.529739380E-2,2.898722076E0,8.884324951E0,9.345290764E0
1.934822500E-1,-1.477427673E-1,2.799927521E0,8.565038910E0,9.012286812E0
2.035282500E-1,-1.573228455E-1,2.732567596E0,8.180638275E0,8.626385033E0
2.135752500E-1,-7.604187012E-2,2.648891602E0,7.821235657E0,8.257974103E0
2.236212500E-1,4.745132446E-2,2.518961792E0,7.597451019E0,8.004291482E0
2.336672500E-1,2.221380615E-1,2.381846924E0,7.839198303E0,8.196070407E0
2.437132500E-1,4.233197021E-1,2.184706879E0,8.405321045E0,8.694916077E0
2.537602500E-1,6.608757019E-1,1.864073639E0,9.049730988E0,9.263323279E0
2.638062500E-1,9.334588623E-1,1.500030670E0,9.297914886E0,9.464283317E0
2.738522500E-1,1.160536652E0,1.220861206E0,9.385033722E0,9.534998970E0
2.838982500E-1,1.579964447E0,1.198856964E0,9.477541351E0,9.682837174E0
2.939452500E-1,2.032323761E0,1.288370819E0,9.197324066E0,9.506892721E0
3.039912500E-1,2.091600494E0,1.264720001E0,8.564440155E0,8.906399075E0
3.140372500E-1,9.827064514E-1,9.859996033E-1,7.636370087E0,7.762219740E0
3.240842500E-1,4.326004028E-2,7.002438354E-1,7.670199738E0,7.702218958E0
3.341302500E-1,7.012916565E-1,9.367520142E-1,9.494605865E0,9.566444212E0
3.441752500E-1,1.163380737E0,1.075363770E0,1.059601547E1,1.071379512E1
3.542212500E-1,1.093176727E0,9.514215088E-1,1.034229309E1,1.044333590E1
3.642682500E-1,1.097368011E0,7.092251587E-1,9.541159058E0,9.630209398E0
3.743142500E-1,1.343306580E0,4.017645264E-1,8.970395966E0,9.079311157E0
3.843602500E-1,1.651665344E0,1.832189941E-1,8.819958801E0,8.975145729E0
3.944062500E-1,1.723815308E0,1.002914429E-2,8.806187439E0,8.973325861E0
4.044532500E-1,1.493594055E0,5.239105225E-2,8.727151794E0,8.854193722E0
4.144992500E-1,1.340911560E0,3.580554199E-1,8.547824707E0,8.659766436E0
4.245452500E-1,1.229842529E0,7.225474548E-1,8.262667694E0,8.384883118E0
4.345912500E-1,1.075214081E0,9.738748169E-1,8.051456909E0,8.181104806E0
4.446382500E-1,1.032403107E0,1.183588715E0,8.098908234E0,8.249791088E0
4.546842500E-1,5.700146484E-1,1.049617310E0,7.838898926E0,7.929372583E0
4.647302500E-1,-4.185296631E-1,3.197351074E-1,7.921527100E0,7.939016892E0
4.747772500E-1,1.369651794E-1,-5.248086548E-1,8.474776611E0,8.492115296E0
4.848232500E-1,9.147477722E-1,-7.646099854E-1,8.686885529E0,8.768316378E0
4.948692500E-1,9.541159058E-1,-5.417234802E-1,8.649762726E0,8.719070862E0
5.049152500E-1,8.328680420E-1,-6.345304871E-1,8.691974945E0,8.754811623E0
5.149622500E-1,7.482939148E-1,-9.469308472E-1,9.048832855E0,9.128964774E0
5.250082500E-1,6.809339905E-1,-1.133293304E0,9.472302246E0,9.564127491E0
5.350542500E-1,5.102888489E-1,-1.036295013E0,9.322014771E0,9.393309398E0
5.451002500E-1,3.823049927E-1,-6.010002136E-1,8.769813080E0,8.798691938E0
5.551472500E-1,3.734733582E-1,-5.792953491E-2,8.005801849E0,8.014717801E0
5.651932500E-1,2.448907471E-1,3.161425781E-1,7.443121948E0,7.453856850E0
5.752392500E-1,4.954696655E-2,3.908372498E-1,7.173981628E0,7.184790955E0
5.852852500E-1,-2.279759216E-1,1.471440125E-1,7.013515320E0,7.018762108E0
5.953322500E-1,-3.730242920E-1,-2.664459229E-1,7.005581818E0,7.020563877E0
6.053782500E-1,-2.902464294E-1,-5.948629761E-1,7.239096222E0,7.269292886E0
6.154242500E-1,-1.109193420E-1,-8.202941895E-1,7.812404022E0,7.856134053E0
6.254712500E-1,-4.894821167E-2,-1.000070343E0,8.308622131E0,8.368735767E0
6.355172500E-1,1.377136230E-2,-1.065484314E0,8.532257080E0,8.598538094E0
6.455632500E-1,2.634521484E-2,-1.034648438E0,8.457412720E0,8.520505934E0
6.556092500E-1,-1.094224548E-1,-1.033899994E0,8.258626099E0,8.323810877E0
6.656562500E-1,-2.246827698E-1,-1.101708984E0,8.134384460E0,8.211726711E0
6.757022500E-1,-1.347198486E-3,-1.200952606E0,8.092920685E0,8.181543509E0
6.857482500E-1,1.712438965E-1,-1.193168793E0,8.233777771E0,8.321542683E0
6.957942500E-1,1.082249451E-1,-1.028660889E0,8.511300659E0,8.573919452E0
7.058412500E-1,-1.315763855E-1,-7.315287781E-1,8.945697327E0,8.976522008E0
7.158872500E-1,-5.623805237E-1,-5.545967102E-1,9.605824585E0,9.638242336E0
7.259332500E-1,-9.801617432E-1,-7.358697510E-1,1.022748184E1,1.030066047E1
7.359792500E-1,-1.136586456E0,-1.188229065E0,1.075693085E1,1.088187844E1
7.460262500E-1,-9.264234924E-1,-1.585053864E0,1.128158981E1,1.143000109E1
7.560722500E-1,-3.936813354E-1,-1.684447174E0,1.148681305E1,1.161633425E1
7.661182500E-1,2.803669739E-1,-1.653760986E0,1.109612549E1,1.122218926E1
7.761652500E-1,7.264393616E-1,-1.479673004E0,1.089898544E1,1.102293201E1
7.862112500E-1,7.409591675E-1,-1.225052490E0,1.079974182E1,1.089422771E1
7.962572500E-1,4.120930481E-1,-9.672885132E-1,1.060754150E1,1.065952178E1
8.063032500E-1,2.694396973E-3,-6.340814209E-1,1.031729507E1,1.033676178E1
8.163502500E-1,-2.026785278E-1,-4.047583008E-1,1.030936157E1,1.031929474E1
8.263962500E-1,-7.096742249E-1,-9.355545044E-2,1.033076706E1,1.035553659E1
8.364422500E-1,-1.317560120E0,-1.091230774E-1,1.028436356E1,1.036899254E1
8.464882500E-1,-1.535357208E0,-5.700146484E-1,1.007973907E1,1.021192334E1
8.565352500E-1,-1.310824127E0,-1.139879608E0,9.868677979E0,1.002039872E1
8.665812500E-1,-6.942562866E-1,-1.520538025E0,9.992919617E0,1.013175553E1
8.766272500E-1,-2.424957275E-2,-1.455124054E0,1.017389328E1,1.027745487E1
8.866742500E-1,-4.655319214E-2,-6.035449219E-1,9.630523224E0,9.649529068E0
8.967202500E-1,-3.782633972E-1,6.734495544E-1,8.807834015E0,8.841637718E0
9.067662500E-1,-4.129911804E-1,1.510508881E0,8.338110809E0,8.483884173E0
9.168122500E-1,4.490661621E-3,1.469943237E0,8.214767303E0,8.345247458E0
9.268592500E-1,6.518943787E-1,6.297404480E-1,8.477770386E0,8.526085270E0
9.369052500E-1,7.807763672E-1,-2.436932373E-1,8.740923157E0,8.779107914E0
9.469512500E-1,1.742376709E-1,-7.226971436E-1,8.800648956E0,8.831991394E0
9.569972500E-1,-9.514215088E-1,-8.827143860E-1,8.514743500E0,8.613085652E0
9.670442500E-1,-2.100432129E0,-8.686436462E-1,7.964338074E0,8.282332876E0
9.770902500E-1,-2.210453339E0,-1.032702484E0,7.687713318E0,8.065575890E0
9.871362500E-1,-1.644480286E0,-1.301393738E0,8.041876831E0,8.310819697E0
9.971822500E-1,-9.268725586E-1,-1.130149841E0,8.903036041E0,9.022216034E0
1.007229250E0,-5.962101746E-1,-5.258564758E-1,9.382039948E0,9.415660634E0
1.017275250E0,-3.632945251E-1,1.856140137E-2,9.856702881E0,9.863413158E0
1.027321250E0,1.347198486E-1,4.685256958E-2,1.028481262E1,1.028580163E1
1.037368250E0,4.321513367E-1,-2.198927307E-1,1.008408005E1,1.009573068E1
1.047414250E0,-1.062789917E-2,-3.963757324E-1,9.693542175E0,9.701648653E0
1.057460250E0,-6.773414612E-1,-6.768923950E-1,9.075178070E0,9.125559258E0
1.067506250E0,-3.728746033E-1,-9.581575012E-1,8.291407928E0,8.354911532E0
1.077553250E0,-7.542814636E-1,-1.061143341E0,6.391259308E0,6.522511882E0
1.087599250E0,-5.075944519E-1,-9.313632202E-1,6.306236115E0,6.394818489E0
1.097645250E0,4.968168640E-1,-1.715432739E-1,7.288343811E0,7.307271009E0
1.107691250E0,1.138233032E0,6.415658569E-1,8.371940460E0,8.473285564E0
1.117738250E0,1.306632843E0,8.551716614E-1,9.514065399E0,9.641371706E0
1.127784250E0,5.111869812E-1,4.132905579E-1,1.061068497E1,1.063102802E1
1.137830250E0,-6.839277649E-1,-3.091072083E-1,1.124865829E1,1.127366923E1
1.147876250E0,-1.581760712E0,-1.190624084E0,1.005025040E1,1.024339229E1
1.157923250E0,-2.226769409E0,-1.260079651E0,9.115144958E0,9.467426807E0
1.167969250E0,-2.199076996E0,-1.156794434E0,9.630074158E0,9.945473406E0
1.178015250E0,-2.097288666E0,-1.413660278E0,8.856782227E0,9.210843965E0
1.188062250E0,-1.997895355E0,-1.296753387E0,7.962541809E0,8.311150778E0
1.198108250E0,-1.217717743E0,-8.943901062E-1,7.672445068E0,7.819794338E0
1.208154250E0,1.392105103E-1,-7.737409973E-1,8.970395966E0,9.004779757E0
1.218200250E0,5.216651917E-1,-1.528022461E0,1.003079086E1,1.015990908E1
1.228247250E0,3.239263916E-1,-2.621348877E0,1.118354370E1,1.149121612E1
1.238293250E0,4.459226990E-1,-3.489393768E0,1.446097824E1,1.488269490E1
1.248339250E0,-4.794529724E-1,-4.128265228E0,1.484897141E1,1.541961091E1
1.258385250E0,-1.061293030E0,-3.534450073E0,1.431428329E1,1.478233359E1
1.268432250E0,-1.250499573E0,-2.261347504E0,1.312036606E1,1.337241366E1
1.278478250E0,-1.515598297E0,-1.586700439E0,1.137783966E1,1.158748859E1
1.288524250E0,-1.621577911E0,-1.656754761E0,1.035860916E1,1.061485445E1
1.298571250E0,-1.841171265E0,-1.998045044E0,1.034169434E1,1.069264875E1
1.308617250E0,-2.461780701E0,-2.278561707E0,1.050051407E1,1.102329367E1
1.318663250E0,-3.160228271E0,-2.238744507E0,9.900561676E0,1.063109313E1
1.328709250E0,-3.303031311E0,-1.990261230E0,9.184001770E0,9.960775277E0
1.338756250E0,-2.540666656E0,-1.778751068E0,9.308542786E0,9.811621233E0
1.348802375E0,-1.574425964E0,-1.712888031E0,9.506431274E0,9.786983095E0
